"unique_id","range","setpoint","yvar","count","day","week","exclude","range_start","range_end","modal_bp","modal_rpt","modal_y","ii_threshold_abs","mean_rpt","sd_rpt","setpoint_rpt","ii","expi","contri","total_techreps"
"20231106_00099","range1",NA,"area",10,105,15,NA,0,36,151.447,13.8156666666667,230935.8,92374.32,13.6534455067668,0.183362718093689,NA,NA,NA,NA,10
"20231106_00099","range1",NA,"height",10,105,15,NA,0,36,151.358,13.786,25911.9,10364.76,13.5905665320698,0.217095190715053,NA,NA,NA,NA,10
"20231106_00099","range2","control","area",10,105,15,NA,115,160,516.919,135.639666666667,4245.2,1698.08,135.137041494532,3.0963171964008,134.581771774573,0.555269719959144,2.67138510152967,-2.57496835351556,10
"20231106_00099","range2","control","height",10,105,15,NA,115,160,517.214,135.738,354.9,141.96,135.266776534756,3.186320188806,134.581771774573,0.685004760183031,2.82989895466489,-2.56039201261912,10
"20231106_00099","range2","self","area",10,105,15,NA,115,160,516.919,135.639666666667,4245.2,1698.08,135.137041494532,3.0963171964008,135.639666666667,-0.502625172134399,2.56595000741671,-3.15889319212479,10
"20231106_00099","range2","self","height",10,105,15,NA,115,160,517.214,135.738,354.9,141.96,135.266776534756,3.186320188806,135.738,-0.471223465243847,2.70132533548571,-3.19031902138687,10
"20231106_00100","range1",NA,"area",9,105,15,NA,0,36,151.637777777778,13.8792592592593,172765.444444444,69106.1777777778,13.7352070635957,0.16462238986102,NA,NA,NA,NA,9
"20231106_00100","range1",NA,"height",9,105,15,NA,0,36,151.397777777778,13.7992592592593,18679.4444444444,7471.77777777778,13.6559207029967,0.231964413093566,NA,NA,NA,NA,9
"20231106_00100","range2","control","area",9,105,15,NA,115,160,515.036666666667,135.012222222222,3596.77777777778,1438.71111111111,134.743805973723,3.04208540023947,134.581771774573,0.162034199149831,2.39085919190514,-2.70106312086099,9
"20231106_00100","range2","control","height",9,105,15,NA,115,160,514.673333333333,134.891111111111,296.444444444444,118.577777777778,134.844102736536,3.19704857397327,134.581771774573,0.262330961962668,2.57411304842971,-2.77979086091718,9
"20231106_00100","range2","self","area",9,105,15,NA,115,160,515.036666666667,135.012222222222,3596.77777777778,1438.71111111111,134.743805973723,3.04208540023947,135.012222222222,-0.268416248499262,2.61964769998517,-3.01657394429385,9
"20231106_00100","range2","self","height",9,105,15,NA,115,160,514.673333333333,134.891111111111,296.444444444444,118.577777777778,134.844102736536,3.19704857397327,134.891111111111,-0.0470083745753106,2.88708953933943,-3.01735103272578,9
"20231106_00101","range1",NA,"area",3,105,15,NA,0,36,151.823333333333,13.9411111111111,242925,97170,13.9411111111111,0,NA,NA,NA,NA,3
"20231106_00101","range1",NA,"height",3,105,15,NA,0,36,151.823333333333,13.9411111111111,27610,11044,13.8216958491165,0.181224520667544,NA,NA,NA,NA,3
"20231106_00101","range2","control","area",3,105,15,NA,115,160,522.213333333333,137.404444444444,3335.33333333333,1334.13333333333,136.32586061954,3.48627224717191,134.581771774573,1.74408884496732,3.59886155032973,-2.40691214149779,3
"20231106_00101","range2","control","height",3,105,15,NA,115,160,521.246666666667,137.082222222222,319.333333333333,127.733333333333,136.488158451587,3.48878377135657,134.581771774573,1.90638667701427,3.70478281990981,-2.27964626638309,3
"20231106_00101","range2","self","area",3,105,15,NA,115,160,522.213333333333,137.404444444444,3335.33333333333,1334.13333333333,136.32586061954,3.48627224717191,137.404444444444,-1.078583824904,2.72218811957986,-3.69105839620911,3
"20231106_00101","range2","self","height",3,105,15,NA,115,160,521.246666666667,137.082222222222,319.333333333333,127.733333333333,136.488158451587,3.48878377135657,137.082222222222,-0.594063770634824,2.98101908680757,-3.45344193497973,3
"20231106_00102","range1",NA,"area",11,105,15,NA,0,36,148.477272727273,12.8257575757576,261038.545454545,104415.418181818,12.0544560871419,2.3953366434633,NA,NA,NA,NA,11
"20231106_00102","range1",NA,"height",11,105,15,NA,0,36,148.602727272727,12.8675757575758,24867.8181818182,9947.12727272727,12.3961295386384,2.21830318692735,NA,NA,NA,NA,11
"20231106_00102","range2","control","area",11,105,15,NA,115,160,520.129090909091,136.709696969697,4031.72727272727,1612.69090909091,136.63881226621,3.41995143752433,134.581771774573,2.05704049163658,3.60155191084862,-2.32096306631049,11
"20231106_00102","range2","control","height",11,105,15,NA,115,160,520.123636363636,136.707878787879,344.181818181818,137.672727272727,136.613735414972,3.40209813411261,134.581771774573,2.03196364039897,3.65010215197649,-2.21798930406877,11
"20231106_00102","range2","self","area",11,105,15,NA,115,160,520.129090909091,136.709696969697,4031.72727272727,1612.69090909091,136.63881226621,3.41995143752433,136.709696969697,-0.0708847034872719,3.05368458892178,-3.17647109870753,11
"20231106_00102","range2","self","height",11,105,15,NA,115,160,520.123636363636,136.707878787879,344.181818181818,137.672727272727,136.613735414972,3.40209813411261,136.707878787879,-0.0941433729066924,3.10566122677622,-3.18715689572804,11
"20231106_00103","range1",NA,"area",9,105,15,NA,0,36,151.677777777778,13.8925925925926,261602.777777778,104641.111111111,13.1028390558691,1.42526618870619,NA,NA,NA,NA,9
"20231106_00103","range1",NA,"height",9,105,15,NA,0,36,151.381111111111,13.7937037037037,25916.6666666667,10366.6666666667,13.3573027105974,1.02045508784802,NA,NA,NA,NA,9
